handle,url,title,description,google_query,google_title,google_snippet,score,url_type,discovered_at,,,,,,,,,,,,
ykskitappdf,https://t.me/ykskitappdf,YKS KİTAP PDF,"Bu zorlu pandemi sürecinde ve sınav senenizde sizlere en güncel ve en verimli kaynakları ulaştırmayı hedefliyoruz. 		Herhangi bir öneri, istek veya benzeri durumlarda lütfen bize form üzerinden ulaşınız.(Form linki: https://forms.gle/C3ASEkGejPJJeXp2A )",telegram türkçe kitap pdf,YKS KİTAP PDF – Telegram,Yarın saat 12'de Doping Hafıza Matematik arşivini sizlerle paylaşacağız. Doping Hafıza Türkçe arşivini kaçıran arkadaşlarımız endişelenmesin en kısa zamanda ...,7,channel_or_user,2026-01-11T11:30:27+00:00,,,,,,,,,,,,
DenizHoca_TDE,https://t.me/DenizHoca_TDE,Deniz Hoca (Türkçe - Edebiyat Dersleri),📕Youtube -> 430.000 Abone ❤️,📗Türk Dili ve Edebiyatı Öğretmeni,,🔗Tüm Linkler👇,,https://linktr.ee/DenizHoca,telegram türkçe kitap pdf,Deniz Hoca (Türkçe - Edebiyat Dersleri) – Telegram,PARAGRAF SORU BANKASI Sorular %100 ÖSYM formatında hazırlandı. Sorular sırf kitap oluşsun diye değil sınav provası yapabilmeniz için binbir emekle yazıldı.,5,channel_or_user,2026-01-11T11:30:27+00:00,,,,,,,
dKitap,https://t.me/dKitap,E Kitap PDF,Okuma kitapları PDF|EPUB,Sesli Kitaplar: @sesli_kitap_arsivi,Dergi: @dergiarsivi,telegram türkçe kitap pdf,View @dKitap - Telegram,"Sesli Kitaplar: @sesli_kitap_arsivi. Dergi: @dergiarsivi · View in Telegram · Preview channel. If you have Telegram, you can view and join. E Kitap PDF right ...",22,channel_or_user,2026-01-11T11:30:27+00:00,,,,,,,,,,
pdfebupkitap,https://t.me/pdfebupkitap,DERS&OKUMA KİTAPLARI PDF-EBUP,"Klasik kitaplar, yabancı kitaplar, yks2025 kitapları,Wattpad kitapları hepsi bu kanalda 	💕🫧HOŞGELDİNİZ 🫧💕	https://t.me/kitappdfebupp",telegram türkçe kitap pdf,View @pdfebupkitap - Telegram,"https://t.me/kitappdfebupp. View in Telegram · Preview channel. If you have Telegram, you can view and join. DERS&OKUMA KİTAPLARI PDF-EBUP right away.",16,channel_or_user,2026-01-11T11:30:27+00:00,,,,,,,,,,,,
vetfakpdf,https://t.me/vetfakpdf,VETERİNER HEKİM-TEKNİKER VE TEKNİSYENİ İÇİN PDF VE NOT KANALI🐾🐄🩺🐑🐐🐕🐔,"Veteriner Hekimliği ve Teknikerliğe dair PDF ve notlar ...	       ""Denilebilir ki; insan hekimliği, veteriner hekimliği yanında okyanusa karşı iç deniz gibidir. Beşeri Hekimlik insan içindir oysa Veteriner Hekimlik insanlık içindir.""	İsmet İnönü Paşa",telegram türkçe kitap pdf,View @vetfakpdf - Telegram,"Veteriner Hekimliği ve Teknikerliğe dair PDF ve notlar ... ""Denilebilir ki; insan hekimliği, veteriner hekimliği yanında okyanusa karşı iç deniz gibidir.",3,channel_or_user,2026-01-11T11:30:27+00:00,,,,,,,,,,,,
boyovut_matematiklar,https://t.me/boyovut_matematiklar,Boyovut mat+akt,"Hayotning  ikkita bezagi bor :   matematika bilan shug’ullanish va o’qitish	Kanalga a’zo bo‘lish @boyovut_matematiklar	Reklama uchun @bjalilova	Tashkilotchi: Jalilova(Turgunova) Barno Rahmatovna	Savollar, takliflar uchun https://t.me/boymatem guruhi",telegram türkçe kitap pdf,Boyovut mat+akt – Telegram,EİS Geometri 1.Kitap 2.Bölüm. 7.7 MB · BES-TYT-AYT GEOMETRİ (DUT)_ ... Cozum3D.TYT.Turkce.SB.pdf. 10.3 MB · TYT MATEMATİK-B FÖY12_algebra+J.pdf. 2.3 MB.,0,message,2026-01-11T11:30:27+00:00,,,,,,,,,,,,
yksnotlari,https://t.me/yksnotlari,yks notları 📚,TÜM KANALLARA HEMEN KATIL 👉🏻 @kanallararsivi,telegram türkçe kitap pdf,yks notları – Telegram,TYT Türkçe Konu Takip Çizelgesi.pdf. 411.2 KB. TYT Türkçe Konuları ve Konu ... VIEW IN TELEGRAM. Seviyelere Göre TYT Biyoloji Soru Bankası Önerileri. 1.,12,channel_or_user,2026-01-11T11:30:27+00:00,,,,,,,,,,,,
milliegitimakademisimeb,https://t.me/milliegitimakademisimeb,MEB-AGS ( MİLLİ EĞİTİM AKADEMİSİ),(AGS) MEB KANALİ ,👇👇👇,https://t.me/agssoru2025,telegram türkçe kitap pdf,MEB-AGS ( MİLLİ EĞİTİM AKADEMİSİ) – Telegram,1739 Türk Milli Eğitimin İlkeleri 52 Soru-Cevap.pdf. 355.2 KB. (AGS) MEB KANALİ https://t.me/agssoru2025 · 1739 Türk Milli Eğitimin Amaçları 17 soru-Cevap.,0,channel_or_user,2026-01-11T11:30:27+00:00,,,,,,,,,,
ilkokulevim,https://t.me/ilkokulevim,İlkokulevim Paylaşım Kanalı,Grubumuz bilgi ve doküman paylaşım grubudur. İlkokul Öğretmenlerimiz ve Velilerimiz katılabilir.,telegram türkçe kitap pdf,İlkokulevim Paylaşım Kanalı – Telegram,"İlkokul Evim 3.Sınıf Türkçe Değerlendirme içeriğini online çöz veya pdf olarak ücretsiz indir. İlkokul Ders İçerikleri, Deneme ve Tarama Sınavları, Bilgi.",1,channel_or_user,2026-01-11T11:30:27+00:00,,,,,,,,,,,,
kitapotag,https://t.me/kitapotag,Kitap Otağ,"Kitap Otağ resmî Telegram kanalıdır. Sosyal medyada paylaşamadığımız içerik ve haberleri, sitemizde yayımladığımız yazıları buradan paylaşıyoruz.		İg: instagram.com/kitapotag		Reklam ve iletişim için: t.me/sahaneserseri",telegram türkçe kitap pdf,Kitap Otağ – Telegram,Türk Tarih Kurumu Kütüphanesinde yer alan 29.483 adet nadir eser çevrimiçi ortama aktarılarak halkın hizmetine sunuldu. Ücretsiz Pdf indirme imkanı da mevcut.,5,channel_or_user,2026-01-11T11:30:27+00:00,,,,,,,,,,,,
ykspdf24,https://t.me/ykspdf24,YKS KİTAP PDF 2026,ÜCRETSİZ YKS KİTAP PDF KANALI,telegram türkçe kitap pdf,YKS KİTAP PDF 2026 – Telegram,"YKS KİTAP PDF 2026. BİLGİ SARMAL TYT TÜRKÇE BRANŞ DENEMELERİ LİNK: https://ay.live/MtLgB. ❤8 7. 46.3K views 11:29. July 21, 2024. YKS KİTAP PDF 2026. BİLGİ ...",5,channel_or_user,2026-01-11T11:30:27+00:00,,,,,,,,,,,,
arsiv_03,https://t.me/arsiv_03,Files,You can view and join @arsiv_03 right away.,telegram türkçe kitap pdf,Files – Telegram,2023 VİP YAYINLARI AYT EDEBİYAT EĞİTİM SETİ GOLD 1 KİTAP.PDF File Size: 16.5 ... File Name: 4K YAYINLARI TYT TÜRKÇE SORU BANKASI 2023 (HD) File Size ...,5,channel_or_user,2026-01-11T11:30:27+00:00,,,,,,,,,,,,
tip_kitaplari,https://t.me/tip_kitaplari,Tıp Fakültesi TUS Kitap PDF,"TIP FAKÜLTESİ, TUS, DUS KİTAPLARI",telegram türkçe kitap pdf,View @tip_kitaplari - Telegram,"Tıp Fakültesi TUS Kitap PDF. 11 759 subscribers. TIP FAKÜLTESİ, TUS, DUS KİTAPLARI. View in Telegram · Preview channel. If you have Telegram, ...",6,channel_or_user,2026-01-11T11:30:27+00:00,,,,,,,,,,,,
